date,area,district,mail_type,pct_on_time,area_average,nat_average
2020-08-22,Capital Metro,Atlanta,first class,89.79,85.2675,87.66373134328359
2020-08-22,Capital Metro,Atlanta,marketing,80.9,86.27625,89.65507462686567
2020-08-22,Capital Metro,Atlanta,periodical,79.8,70.17125,75.35179104477612
2020-08-29,Capital Metro,Atlanta,first class,90.08,83.35625,87.9558208955224
2020-08-29,Capital Metro,Atlanta,marketing,83.23,85.88875,89.71492537313434
2020-08-29,Capital Metro,Atlanta,periodical,81.18,69.1925,77.81626865671642
2020-09-05,Capital Metro,Atlanta,first class,88.75,83.06125,88.63970149253731
2020-09-05,Capital Metro,Atlanta,marketing,75.27,80.185,87.56910447761194
2020-09-05,Capital Metro,Atlanta,periodical,73.21,76.03625,79.4310447761194
2020-09-12,Capital Metro,Atlanta,first class,85.36,80.98125,86.31940298507463
2020-09-12,Capital Metro,Atlanta,marketing,76.04,80.975,87.01388059701493
2020-09-12,Capital Metro,Atlanta,periodical,76.73,73.96875,77.99432835820896
2020-09-19,Capital Metro,Atlanta,first class,82.06,76.195,84.3179104477612
2020-09-19,Capital Metro,Atlanta,marketing,72.5,83.8675,88.86358208955224
2020-09-19,Capital Metro,Atlanta,periodical,69.7,75.3925,79.76626865671642
2020-09-26,Capital Metro,Atlanta,first class,83.5,80.91375,85.99880597014925
2020-09-26,Capital Metro,Atlanta,marketing,73.58,86.69125,89.72044776119402
2020-09-26,Capital Metro,Atlanta,periodical,65.74,71.485,77.87910447761195
2020-10-03,Capital Metro,Atlanta,first class,83.78,81.19375,86.09283582089552
2020-10-03,Capital Metro,Atlanta,marketing,72.87,84.29875,89.24208955223881
2020-10-03,Capital Metro,Atlanta,periodical,62.69,72.84,78.80641791044776
2020-10-10,Capital Metro,Atlanta,first class,82.22,79.9625,85.7068656716418
2020-10-10,Capital Metro,Atlanta,marketing,59.55,80.46875,86.79537313432836
2020-10-10,Capital Metro,Atlanta,periodical,55.46,68.55875,77.79492537313433
2020-10-17,Capital Metro,Atlanta,first class,79.46,71.7675,81.02850746268656
2020-10-17,Capital Metro,Atlanta,marketing,56.97,79.06,87.537761194029855
2020-10-17,Capital Metro,Atlanta,periodical,59.14,68.69500000000001,74.85313432835821
2020-10-24,Capital Metro,Atlanta,first class,80.83,73.3275,81.72880597014925
2020-10-24,Capital Metro,Atlanta,marketing,63.45,74.75874999999999,86.49582089552239
2020-10-24,Capital Metro,Atlanta,periodical,71.98,62.90875,75.62328358208956
2020-10-31,Capital Metro,Atlanta,first class,82.62,77.69500000000001,84.71164179104478
2020-10-31,Capital Metro,Atlanta,marketing,66.4,72.55,84.98910447761195
2020-10-31,Capital Metro,Atlanta,periodical,62.31,64.4075,76.0223880597015
2020-01-04,Capital Metro,Baltimore,first class,86.86,90.01375,91.52223880597015
2020-01-04,Capital Metro,Baltimore,marketing,83.71,86.47125,91.10417910447761
2020-01-04,Capital Metro,Baltimore,periodical,82.29,83.42,84.79970149253731
2020-01-11,Capital Metro,Baltimore,first class,86.82,89.83125,91.32611940298507
2020-01-11,Capital Metro,Baltimore,marketing,76.29,82.36749999999999,88.92641791044777
2020-01-11,Capital Metro,Baltimore,periodical,89.55,83.24000000000001,84.77776119402985
2020-01-18,Capital Metro,Baltimore,first class,86.79,91.565,92.84149253731343
2020-01-18,Capital Metro,Baltimore,marketing,82.91,85.39,89.35925373134329
2020-01-18,Capital Metro,Baltimore,periodical,87.64,86.37875,86.83358208955224
2020-01-25,Capital Metro,Baltimore,first class,87.34,90.3075,90.87194029850747
2020-01-25,Capital Metro,Baltimore,marketing,88.07,88.81125,91.74611940298507
2020-01-25,Capital Metro,Baltimore,periodical,83.09,85.99375,87.02731343283583
2020-02-01,Capital Metro,Baltimore,first class,89.92,89.87625,90.80268656716417
2020-02-01,Capital Metro,Baltimore,marketing,89.3,86.505,90.1579104477612
2020-02-01,Capital Metro,Baltimore,periodical,80.31,85.23375,87.08328358208955
2020-02-08,Capital Metro,Baltimore,first class,91.36,91.4775,91.89029850746269
2020-02-08,Capital Metro,Baltimore,marketing,89.82,89.54125,91.76835820895522
2020-02-08,Capital Metro,Baltimore,periodical,87.77,87.35249999999999,88.17701492537313
2020-02-15,Capital Metro,Baltimore,first class,91.56,93.24625,93.73283582089552
2020-02-15,Capital Metro,Baltimore,marketing,88.99,88.27,91.66597014925374
2020-02-15,Capital Metro,Baltimore,periodical,86.43,87.445,88.09074626865672
2020-02-22,Capital Metro,Baltimore,first class,91.43,92.09125,92.73044776119403
2020-02-22,Capital Metro,Baltimore,marketing,91.17,91.075,93.13537313432836
2020-02-22,Capital Metro,Baltimore,periodical,87.84,86.135,86.80835820895523
2020-02-29,Capital Metro,Baltimore,first class,91.48,92.37,93.05
2020-02-29,Capital Metro,Baltimore,marketing,84.23,84.805,91.48925373134328
2020-02-29,Capital Metro,Baltimore,periodical,80.89,83.69,85.74104477611941
2020-03-07,Capital Metro,Baltimore,first class,89.48,91.6925,92.29373134328358
2020-03-07,Capital Metro,Baltimore,marketing,90.54,90.3275,92.01358208955224
2020-03-07,Capital Metro,Baltimore,periodical,88.67,85.29625,86.38985074626865
2020-03-14,Capital Metro,Baltimore,first class,91.31,92.46625,91.79925373134328
2020-03-14,Capital Metro,Baltimore,marketing,90.94,88.84,91.02089552238806
2020-03-14,Capital Metro,Baltimore,periodical,88.24,85.4875,85.62552238805971
2020-03-21,Capital Metro,Baltimore,first class,91.29,92.9575,92.48880597014926
2020-03-21,Capital Metro,Baltimore,marketing,89.01,91.82000000000001,91.89955223880597
2020-03-21,Capital Metro,Baltimore,periodical,82.65,86.47749999999999,85.31238805970149
2020-03-28,Capital Metro,Baltimore,first class,91.85,93.11125,92.28328358208955
2020-03-28,Capital Metro,Baltimore,marketing,93.12,93.40625,92.68477611940298
2020-03-28,Capital Metro,Baltimore,periodical,87.14,86.71625,84.20388059701493
